step,train_loss
1,4.3036
2,3.9294
3,4.4179
4,4.0012
5,3.7687
6,3.5539
7,3.7981
8,3.9056
9,3.8356
10,3.805
11,3.4631
12,3.7546
13,3.9634
14,3.8586
15,3.7261
16,4.2847
17,3.436
18,3.6149
19,3.6386
20,3.7641
21,3.7295
22,3.8553
23,3.5673
24,3.9679
25,3.9344
26,3.6886
27,3.8128
28,3.5382
29,3.8345
30,3.5467
31,3.278
32,3.5146
33,3.8022
34,3.979
35,3.1385
36,4.3219
37,3.9513
38,4.0364
39,3.8381
40,3.6488
41,3.6078
42,3.7943
43,4.1557
44,3.7144
45,3.7342
46,3.7433
47,3.4501
48,3.3732
49,3.677
50,2.9214
51,3.8357
52,3.5901
53,3.3016
54,3.2893
55,3.7174
56,3.3994
57,3.512
58,3.6216
59,3.1628
60,3.1424
61,3.8374
62,3.7016
63,3.6439
64,3.1744
65,3.5912
66,3.4948
67,3.0112
68,3.5794
69,3.0913
70,3.7073
71,3.2089
72,3.6292
73,3.9019
74,3.1364
75,3.7181
76,3.632
77,3.5565
78,3.2008
79,3.9782
80,3.3042
81,3.3517
82,3.5088
83,3.9243
84,3.4841
85,3.3938
86,3.7888
87,3.2926
88,3.3576
89,3.2353
90,3.3807
91,3.2446
92,3.7482
93,3.6123
94,3.2357
95,3.2045
96,2.8069
97,3.4281
98,3.6583
99,3.0634
100,3.672
101,3.4846
102,3.955
103,3.4788
104,3.3589
105,3.6242
106,3.8671
107,3.5406
108,3.5587
109,3.1594
110,3.2121
111,3.1204
112,3.748
113,3.65
114,3.5373
115,3.4017
116,3.2493
117,3.1238
118,3.3973
119,3.3994
120,3.2651
121,3.3749
122,3.5529
123,2.7552
124,3.1543
125,3.2332
126,3.3641
127,3.1706
128,3.0051
129,3.2189
130,3.0141
131,3.4522
132,3.1336
133,3.1891
134,3.2467
135,3.693
136,3.2268
137,3.439
138,3.1153
139,3.3543
140,3.1884
141,3.0911
142,3.6152
143,3.1382
144,3.1704
145,3.7859
146,3.0747
147,3.857
148,3.2223
149,2.8803
150,3.6016
151,3.2637
152,2.9687
153,3.1313
154,3.2352
155,3.6994
156,3.4202
157,3.2377
158,3.0287
159,3.6013
160,3.0451
161,3.3431
162,3.2935
163,3.3041
164,3.2108
165,3.5023
166,3.203
167,3.9137
168,3.4447
169,3.0535
170,2.9881
171,3.4121
172,2.7183
173,3.2991
174,3.326
175,3.1628
176,3.1007
177,3.3115
178,3.0518
179,3.2143
180,3.0794
181,3.5667
182,3.1179
183,3.1653
184,2.6237
185,3.9402
186,3.1214
187,3.1589
188,3.1131
189,3.2447
190,3.1009
191,3.6181
192,3.2723
193,3.1134
194,3.3001
195,3.102
196,3.2824
197,2.9275
198,2.9349
199,3.144
200,3.4421
201,3.5523
202,2.7692
203,3.1353
204,3.3515
205,3.3207
206,3.0407
207,3.5135
208,3.3004
209,3.4391
210,3.1578
211,3.3392
212,3.3336
213,3.3983
214,2.9621
215,3.4702
216,2.966
217,3.1822
218,2.9847
219,2.7743
220,3.4706
221,3.2747
222,2.7243
223,3.7107
224,3.0132
225,3.7104
