date,product,value,yoy
2015-01-01,All-items,124.3,
2015-02-01,All-items,125.4,
2015-03-01,All-items,126.3,
2015-04-01,All-items,126.2,
2015-05-01,All-items,126.9,
2015-06-01,All-items,127.2,
2015-07-01,All-items,127.3,
2015-08-01,All-items,127.3,
2015-09-01,All-items,127.1,
2015-10-01,All-items,127.2,
2015-11-01,All-items,127.1,
2015-12-01,All-items,126.5,
2016-01-01,All-items,126.8,2.011263073209979
2016-02-01,All-items,127.1,1.3556618819776656
2016-03-01,All-items,127.9,1.2668250197941378
2016-04-01,All-items,128.3,1.6640253565768592
2016-05-01,All-items,128.8,1.497241922773851
2016-06-01,All-items,129.1,1.4937106918238907
2016-07-01,All-items,128.9,1.256873527101332
2016-08-01,All-items,128.7,1.09976433621366
2016-09-01,All-items,128.8,1.337529504327306
2016-10-01,All-items,129.1,1.4937106918238907
2016-11-01,All-items,128.6,1.1801730920534936
2016-12-01,All-items,128.4,1.5019762845849938
2017-01-01,All-items,129.5,2.1293375394321856
2017-02-01,All-items,129.7,2.0456333595594067
2017-03-01,All-items,129.9,1.5637216575449475
2017-04-01,All-items,130.4,1.636788776305531
2017-05-01,All-items,130.5,1.3198757763975166
2017-06-01,All-items,130.4,1.0069713400464808
2017-07-01,All-items,130.4,1.1636927851047307
2017-08-01,All-items,130.5,1.3986013986014179
2017-09-01,All-items,130.8,1.552795031055898
2017-10-01,All-items,130.9,1.3942680092951187
2017-11-01,All-items,131.3,2.0995334370140117
2017-12-01,All-items,130.8,1.869158878504673
2018-01-01,All-items,131.7,1.698841698841691
2018-02-01,All-items,132.5,2.1588280647648617
2018-03-01,All-items,132.9,2.3094688221708903
2018-04-01,All-items,133.3,2.223926380368102
2018-05-01,All-items,133.4,2.2222222222222365
2018-06-01,All-items,133.6,2.4539877300613355
2018-07-01,All-items,134.3,2.9907975460122804
2018-08-01,All-items,134.2,2.8352490421455823
2018-09-01,All-items,133.7,2.2171253822629744
2018-10-01,All-items,134.1,2.444614209320073
2018-11-01,All-items,133.5,1.6755521706016685
2018-12-01,All-items,133.4,1.9877675840978437
2019-01-01,All-items,133.6,1.4426727410782103
2019-02-01,All-items,134.5,1.5094339622641506
2019-03-01,All-items,135.4,1.8811136192625977
2019-04-01,All-items,136.0,2.025506376594133
2019-05-01,All-items,136.6,2.398800599700146
2019-06-01,All-items,136.3,2.020958083832358
2019-07-01,All-items,137.0,2.010424422933732
2019-08-01,All-items,136.8,1.9374068554396606
2019-09-01,All-items,136.2,1.8698578908002972
2019-10-01,All-items,136.6,1.8642803877703118
2019-11-01,All-items,136.4,2.1722846441947663
2019-12-01,All-items,136.4,2.2488755622188883
2020-01-01,All-items,136.8,2.3952095808383422
2020-02-01,All-items,137.4,2.1561338289962872
2020-03-01,All-items,136.6,0.8862629246676468
2020-04-01,All-items,135.7,-0.22058823529412797
