ref_year,region_code,gender,age_group,characteristic,value,uom
2020,AB,Total,15 to 24 years,Employment,242.3,Persons in thousands
2020,AB,Total,15 to 24 years,Employment rate,46.6,Percent
2020,AB,Total,15 to 24 years,Full-time employment,131.2,Persons in thousands
2020,AB,Total,15 to 24 years,Labour force,320.5,Persons in thousands
2020,AB,Total,15 to 24 years,Not in labour force,199.2,Persons in thousands
2020,AB,Total,15 to 24 years,Part-time employment,111.1,Persons in thousands
2020,AB,Total,15 to 24 years,Participation rate,61.7,Percent
2020,AB,Total,15 to 24 years,Population,519.7,Persons in thousands
2020,AB,Total,15 to 24 years,Proportion employed full-time,54.1,Percent
2020,AB,Total,15 to 24 years,Proportion employed part-time,45.9,Percent
2020,AB,Total,15 to 24 years,Unemployment,78.2,Persons in thousands
2020,AB,Total,15 to 24 years,Unemployment rate,24.4,Percent
2020,AB,Total,15 to 64 years,Employment,2046.7,Persons in thousands
2020,AB,Total,15 to 64 years,Employment rate,70.0,Percent
2020,AB,Total,15 to 64 years,Full-time employment,1699.4,Persons in thousands
2020,AB,Total,15 to 64 years,Labour force,2314.1,Persons in thousands
2020,AB,Total,15 to 64 years,Not in labour force,608.2,Persons in thousands
2020,AB,Total,15 to 64 years,Part-time employment,347.3,Persons in thousands
2020,AB,Total,15 to 64 years,Participation rate,79.2,Percent
2020,AB,Total,15 to 64 years,Population,2922.4,Persons in thousands
2020,AB,Total,15 to 64 years,Proportion employed full-time,83.0,Percent
2020,AB,Total,15 to 64 years,Proportion employed part-time,17.0,Percent
2020,AB,Total,15 to 64 years,Unemployment,267.4,Persons in thousands
2020,AB,Total,15 to 64 years,Unemployment rate,11.6,Percent
2020,AB,Total,15 years and over,Employment,2137.1,Persons in thousands
2020,AB,Total,15 years and over,Employment rate,61.1,Percent
2020,AB,Total,15 years and over,Full-time employment,1753.4,Persons in thousands
2020,AB,Total,15 years and over,Labour force,2411.8,Persons in thousands
2020,AB,Total,15 years and over,Not in labour force,1088.1,Persons in thousands
2020,AB,Total,15 years and over,Part-time employment,383.7,Persons in thousands
2020,AB,Total,15 years and over,Participation rate,68.9,Percent
2020,AB,Total,15 years and over,Population,3499.9,Persons in thousands
2020,AB,Total,15 years and over,Proportion employed full-time,82.0,Percent
2020,AB,Total,15 years and over,Proportion employed part-time,18.0,Percent
2020,AB,Total,15 years and over,Unemployment,274.7,Persons in thousands
2020,AB,Total,15 years and over,Unemployment rate,11.4,Percent
2020,AB,Total,25 to 54 years,Employment,1466.0,Persons in thousands
2020,AB,Total,25 to 54 years,Employment rate,78.9,Percent
2020,AB,Total,25 to 54 years,Full-time employment,1281.2,Persons in thousands
2020,AB,Total,25 to 54 years,Labour force,1613.1,Persons in thousands
2020,AB,Total,25 to 54 years,Not in labour force,245.4,Persons in thousands
2020,AB,Total,25 to 54 years,Part-time employment,184.8,Persons in thousands
2020,AB,Total,25 to 54 years,Participation rate,86.8,Percent
2020,AB,Total,25 to 54 years,Population,1858.5,Persons in thousands
2020,AB,Total,25 to 54 years,Proportion employed full-time,87.4,Percent
2020,AB,Total,25 to 54 years,Proportion employed part-time,12.6,Percent
2020,AB,Total,25 to 54 years,Unemployment,147.1,Persons in thousands
2020,AB,Total,25 to 54 years,Unemployment rate,9.1,Percent
2020,BC,Total,15 to 24 years,Employment,304.8,Persons in thousands
2020,BC,Total,15 to 24 years,Employment rate,50.0,Percent
2020,BC,Total,15 to 24 years,Full-time employment,154.8,Persons in thousands
2020,BC,Total,15 to 24 years,Labour force,375.5,Persons in thousands
2020,BC,Total,15 to 24 years,Not in labour force,233.6,Persons in thousands
2020,BC,Total,15 to 24 years,Part-time employment,150.0,Persons in thousands
2020,BC,Total,15 to 24 years,Participation rate,61.6,Percent
2020,BC,Total,15 to 24 years,Population,609.1,Persons in thousands
2020,BC,Total,15 to 24 years,Proportion employed full-time,50.8,Percent
2020,BC,Total,15 to 24 years,Proportion employed part-time,49.2,Percent
2020,BC,Total,15 to 24 years,Unemployment,70.8,Persons in thousands
2020,BC,Total,15 to 24 years,Unemployment rate,18.9,Percent
2020,BC,Total,15 to 64 years,Employment,2388.9,Persons in thousands
2020,BC,Total,15 to 64 years,Employment rate,70.5,Percent
2020,BC,Total,15 to 64 years,Full-time employment,1922.8,Persons in thousands
2020,BC,Total,15 to 64 years,Labour force,2631.4,Persons in thousands
2020,BC,Total,15 to 64 years,Not in labour force,755.5,Persons in thousands
2020,BC,Total,15 to 64 years,Part-time employment,466.1,Persons in thousands
2020,BC,Total,15 to 64 years,Participation rate,77.7,Percent
2020,BC,Total,15 to 64 years,Population,3386.9,Persons in thousands
2020,BC,Total,15 to 64 years,Proportion employed full-time,80.5,Percent
2020,BC,Total,15 to 64 years,Proportion employed part-time,19.5,Percent
2020,BC,Total,15 to 64 years,Unemployment,242.5,Persons in thousands
2020,BC,Total,15 to 64 years,Unemployment rate,9.2,Percent
2020,BC,Total,15 years and over,Employment,2527.3,Persons in thousands
2020,BC,Total,15 years and over,Employment rate,58.6,Percent
2020,BC,Total,15 years and over,Full-time employment,1996.8,Persons in thousands
2020,BC,Total,15 years and over,Labour force,2781.1,Persons in thousands
2020,BC,Total,15 years and over,Not in labour force,1532.8,Persons in thousands
2020,BC,Total,15 years and over,Part-time employment,530.5,Persons in thousands
2020,BC,Total,15 years and over,Participation rate,64.5,Percent
2020,BC,Total,15 years and over,Population,4313.8,Persons in thousands
2020,BC,Total,15 years and over,Proportion employed full-time,79.0,Percent
2020,BC,Total,15 years and over,Proportion employed part-time,21.0,Percent
2020,BC,Total,15 years and over,Unemployment,253.8,Persons in thousands
2020,BC,Total,15 years and over,Unemployment rate,9.1,Percent
2020,BC,Total,25 to 54 years,Employment,1651.9,Persons in thousands
2020,BC,Total,25 to 54 years,Employment rate,79.8,Percent
2020,BC,Total,25 to 54 years,Full-time employment,1423.6,Persons in thousands
2020,BC,Total,25 to 54 years,Labour force,1788.2,Persons in thousands
