ref_year,region_code,gender,age_group,value
2020,AB,Total,15 to 64 years,2974507.0
2020,AB,Total,25 to 44 years,1336431.0
2020,AB,Total,All ages,4407495.0
2020,BC,Total,15 to 64 years,3461633.0
2020,BC,Total,25 to 44 years,1452613.0
2020,BC,Total,All ages,5176101.0
2020,CA,Total,15 to 64 years,25121768.0
2020,CA,Total,25 to 44 years,10418231.0
2020,CA,Total,All ages,38028638.0
2020,MB,Total,15 to 64 years,897925.0
2020,MB,Total,25 to 44 years,376759.0
2020,MB,Total,All ages,1380132.0
2020,NB,Total,15 to 64 years,499056.0
2020,NB,Total,25 to 44 years,184328.0
2020,NB,Total,All ages,783432.0
2020,NL,Total,15 to 64 years,338453.0
2020,NL,Total,25 to 44 years,120419.0
2020,NL,Total,All ages,526884.0
2020,NS,Total,15 to 64 years,640554.0
2020,NS,Total,25 to 44 years,242711.0
2020,NS,Total,All ages,989168.0
2020,NT,Total,15 to 64 years,31339.0
2020,NT,Total,25 to 44 years,13948.0
2020,NT,Total,All ages,44504.0
2020,NU,Total,15 to 64 years,25303.0
2020,NU,Total,25 to 44 years,11455.0
2020,NU,Total,All ages,39479.0
2020,ON,Total,15 to 64 years,9862599.0
2020,ON,Total,25 to 44 years,4036673.0
2020,ON,Total,All ages,14761811.0
2020,PE,Total,15 to 64 years,102991.0
2020,PE,Total,25 to 44 years,38257.0
2020,PE,Total,All ages,159193.0
2020,QC,Total,15 to 64 years,5510595.0
2020,QC,Total,25 to 44 years,2270656.0
2020,QC,Total,All ages,8551095.0
2020,SK,Total,15 to 64 years,747567.0
2020,SK,Total,25 to 44 years,320683.0
2020,SK,Total,All ages,1167386.0
2020,YT,Total,15 to 64 years,29246.0
2020,YT,Total,25 to 44 years,13298.0
2020,YT,Total,All ages,41958.0
2021,AB,Total,15 to 64 years,2970980.0
2021,AB,Total,25 to 44 years,1332424.0
2021,AB,Total,All ages,4431531.0
2021,BC,Total,15 to 64 years,3474097.0
2021,BC,Total,25 to 44 years,1492386.0
2021,BC,Total,All ages,5226665.0
2021,CA,Total,15 to 64 years,25104410.0
2021,CA,Total,25 to 44 years,10527072.0
2021,CA,Total,All ages,38239864.0
2021,MB,Total,15 to 64 years,902941.0
2021,MB,Total,25 to 44 years,380598.0
2021,MB,Total,All ages,1391924.0
2021,NB,Total,15 to 64 years,500127.0
2021,NB,Total,25 to 44 years,186695.0
2021,NB,Total,All ages,790802.0
2021,NL,Total,15 to 64 years,334999.0
2021,NL,Total,25 to 44 years,119507.0
2021,NL,Total,All ages,527056.0
2021,NS,Total,15 to 64 years,643343.0
2021,NS,Total,25 to 44 years,249061.0
2021,NS,Total,All ages,999908.0
2021,NT,Total,15 to 64 years,31243.0
