ref_year,employment_k,yoy_growth_pct
1976,9747.5,
1977,9917.1,1.74
1978,10220.3,3.06
1979,10668.6,4.39
1980,10984.0,2.96
1981,11305.0,2.92
1982,10943.7,-3.2
1983,11022.0,0.72
1984,11301.7,2.54
1985,11658.0,3.15
1986,12008.5,3.01
1987,12333.0,2.7
1988,12709.6,3.05
1989,12996.2,2.25
1990,13086.4,0.69
1991,12857.4,-1.75
1992,12730.9,-0.98
1993,12792.7,0.49
1994,13058.7,2.08
1995,13295.4,1.81
1996,13420.1,0.94
1997,13708.2,2.15
1998,14047.0,2.47
1999,14402.0,2.53
2000,14760.1,2.49
2001,14932.3,1.17
2002,15291.3,2.4
2003,15660.8,2.42
2004,15915.0,1.62
2005,16123.5,1.31
2006,16413.7,1.8
2007,16756.8,2.09
2008,16996.8,1.43
2009,16755.4,-1.42
2010,16978.2,1.33
2011,17219.6,1.42
2012,17431.6,1.23
2013,17667.7,1.35
2014,17738.5,0.4
2015,17857.2,0.67
2016,17966.9,0.61
2017,18372.2,2.26
2018,18706.6,1.82
2019,19070.8,1.95
2020,18068.5,-5.26
2021,18964.1,4.96
2022,19739.5,4.09
2023,20334.8,3.02
2024,20730.5,1.95
2025,21028.7,1.44
