region_name,ref_year,employment_k,share_pct
Ontario,1976,3740.7,38.38
Quebec,1976,2543.4,26.09
British Columbia,1976,1060.9,10.88
Alberta,1976,854.9,8.77
Manitoba,1976,434.4,4.46
Saskatchewan,1976,382.3,3.92
Nova Scotia,1976,297.9,3.06
New Brunswick,1976,231.1,2.37
Newfoundland and Labrador,1976,158.8,1.63
Prince Edward Island,1976,43.0,0.44
Ontario,2025,8227.0,39.12
Quebec,2025,4644.8,22.09
British Columbia,2025,2946.2,14.01
Alberta,2025,2590.1,12.32
Manitoba,2025,736.2,3.5
Saskatchewan,2025,617.4,2.94
Nova Scotia,2025,523.5,2.49
New Brunswick,2025,405.2,1.93
Newfoundland and Labrador,2025,244.8,1.16
Prince Edward Island,2025,93.5,0.44
