ref_year,unemployment_pct,moving_average_5yr
1976,7.1,7.83
1977,8.0,7.75
1978,8.4,7.7
1979,7.5,7.8
1980,7.5,8.4
1981,7.6,9.12
1982,11.0,9.88
1983,12.0,10.48
1984,11.3,10.88
1985,10.5,10.44
1986,9.6,9.6
1987,8.8,8.84
1988,7.8,8.36
1989,7.5,8.5
1990,8.1,8.98
1991,10.3,9.7
1992,11.2,10.28
1993,11.4,10.56
1994,10.4,10.42
1995,9.5,10.0
1996,9.6,9.38
1997,9.1,8.82
1998,8.3,8.28
1999,7.6,7.8
2000,6.8,7.52
2001,7.2,7.38
2002,7.7,7.3
2003,7.6,7.3
2004,7.2,7.16
2005,6.8,6.86
2006,6.5,6.6
2007,6.2,6.86
2008,6.3,7.14
2009,8.5,7.38
2010,8.2,7.62
2011,7.7,7.8
2012,7.4,7.5
2013,7.2,7.26
2014,7.0,7.14
2015,7.0,6.94
2016,7.1,6.66
2017,6.4,6.4
2018,5.8,6.94
2019,5.7,7.02
2020,9.7,6.8
2021,7.5,6.72
2022,5.3,6.84
2023,5.4,6.26
2024,6.3,5.95
2025,6.8,6.17
