region_name,ref_year,employed_per_1000
Alberta,1976,699.3
Ontario,1976,670.7
Saskatchewan,1976,659.8
Manitoba,1976,659.7
British Columbia,1976,630.4
Prince Edward Island,1976,596.3
Quebec,1976,587.1
Nova Scotia,1976,562.3
New Brunswick,1976,534.1
Newfoundland and Labrador,1976,470.6
Quebec,2025,812.4
Prince Edward Island,2025,784.3
British Columbia,2025,778.5
Alberta,2025,768.1
Saskatchewan,2025,764.6
Ontario,2025,760.6
Manitoba,2025,749.0
Nova Scotia,2025,747.5
New Brunswick,2025,743.8
Newfoundland and Labrador,2025,712.4
