ref_year,youth_15_24_pct,prime_25_54_pct,gap_pp
1976,12.4,5.3,7.1
1977,13.8,6.0,7.8
1978,14.0,6.4,7.6
1979,12.7,5.8,6.9
1980,12.8,5.8,7.0
1981,12.8,6.0,6.8
1982,18.2,8.9,9.3
1983,19.2,10.0,9.2
1984,17.4,9.8,7.6
1985,15.8,9.1,6.7
1986,14.7,8.3,6.4
1987,13.2,7.7,5.5
1988,11.5,6.9,4.6
1989,10.9,6.8,4.1
1990,12.3,7.3,5.0
1991,15.8,9.2,6.6
1992,17.2,10.0,7.2
1993,17.2,10.3,6.9
1994,15.9,9.4,6.5
1995,14.8,8.5,6.3
1996,15.4,8.6,6.8
1997,16.3,7.8,8.5
1998,15.1,7.1,8.0
1999,14.1,6.4,7.7
2000,12.7,5.7,7.0
2001,12.9,6.2,6.7
2002,13.6,6.6,7.0
2003,13.6,6.4,7.2
2004,13.4,6.0,7.4
2005,12.4,5.8,6.6
2006,11.6,5.5,6.1
2007,11.0,5.2,5.8
2008,11.4,5.3,6.1
2009,15.1,7.3,7.8
2010,14.6,7.1,7.5
2011,14.0,6.5,7.5
2012,14.0,6.2,7.8
2013,13.3,6.0,7.3
2014,13.3,5.9,7.4
2015,12.8,5.9,6.9
2016,12.6,6.1,6.5
2017,11.2,5.6,5.6
2018,10.6,5.0,5.6
2019,10.7,4.7,6.0
2020,20.1,7.9,12.2
2021,13.5,6.2,7.3
2022,10.0,4.3,5.7
2023,10.7,4.5,6.2
2024,13.1,5.4,7.7
2025,13.8,5.8,8.0
