year,region_code,region_name,unemployment_rate,employment_thousands,participation_rate,youth_unemployment_rate,prime_age_unemployment_rate
1976,AB,Alberta,3.9,854.9,67.4,7.4,2.5
1976,BC,British Columbia,8.4,1060.9,61.8,14.4,6.3
1976,CA,Canada,7.1,9747.5,61.5,12.4,5.3
1976,MB,Manitoba,4.7,434.4,61.8,8.3,3.3
1976,NB,New Brunswick,11.0,231.1,53.9,16.8,8.9
1976,NL,Newfoundland and Labrador,13.4,158.8,49.4,20.5,10.6
1976,NS,Nova Scotia,9.2,297.9,55.6,16.3,6.6
1976,ON,Ontario,6.1,3740.7,64.2,10.9,4.7
1976,PE,Prince Edward Island,9.3,43.0,57.1,14.8,7.2
1976,QC,Quebec,8.7,2543.4,58.8,15.2,6.3
1976,SK,Saskatchewan,3.8,382.3,60.6,6.9,2.8
1977,AB,Alberta,4.5,903.7,67.6,8.0,3.0
1977,BC,British Columbia,8.3,1089.1,61.8,14.3,6.3
1977,CA,Canada,8.0,9917.1,61.9,13.8,6.0
1977,MB,Manitoba,5.7,438.2,62.1,9.2,4.5
1977,NB,New Brunswick,13.3,228.3,53.6,21.1,10.6
1977,NL,Newfoundland and Labrador,15.4,160.9,50.6,24.4,11.7
1977,NS,Nova Scotia,10.3,298.3,55.6,16.8,8.3
1977,ON,Ontario,6.9,3803.9,64.5,12.4,5.1
1977,PE,Prince Edward Island,9.5,43.6,57.0,13.3,8.3
1977,QC,Quebec,10.4,2556.0,59.3,17.5,7.8
1977,SK,Saskatchewan,4.4,395.4,61.6,8.1,3.0
1978,AB,Alberta,4.8,959.2,68.5,8.1,3.4
1978,BC,British Columbia,8.3,1137.5,62.9,13.7,6.4
1978,CA,Canada,8.4,10220.3,62.7,14.0,6.4
1978,MB,Manitoba,6.5,444.4,63.0,11.3,4.8
1978,NB,New Brunswick,12.4,239.3,54.8,19.2,9.8
1978,NL,Newfoundland and Labrador,15.9,166.1,51.7,23.3,12.9
1978,NS,Nova Scotia,10.5,306.0,56.2,17.4,8.2
1978,ON,Ontario,7.2,3923.6,65.4,12.8,5.4
