date,planet,x_au,y_au
1900-01-01,mercury,-0.387379,-0.162652
1900-02-01,mercury,0.170781,-0.408196
1900-03-01,mercury,0.176938,0.256117
1900-04-01,mercury,-0.373986,-0.211395
1900-05-01,mercury,0.191421,-0.394793
1900-06-01,mercury,0.050027,0.302839
1900-07-01,mercury,-0.3435,-0.277955
1900-08-01,mercury,0.2645,-0.328739
1900-09-01,mercury,-0.085004,0.300622
1900-10-01,mercury,-0.28652,-0.352749
1900-11-01,mercury,0.320945,-0.242242
1900-12-01,mercury,-0.179171,0.268186
1901-01-01,mercury,-0.214846,-0.409543
1901-02-01,mercury,0.354136,-0.138445
1901-03-01,mercury,-0.234758,0.234226
1901-04-01,mercury,-0.174514,-0.430739
1901-05-01,mercury,0.358035,-0.109733
1901-06-01,mercury,-0.321741,0.145978
1901-07-01,mercury,-0.110545,-0.452611
1901-08-01,mercury,0.352053,0.007229
1901-09-01,mercury,-0.374799,0.041912
1901-10-01,mercury,-0.021201,-0.462893
1901-11-01,mercury,0.308104,0.122989
1901-12-01,mercury,-0.392856,-0.039467
1902-01-01,mercury,0.06913,-0.45104
1902-02-01,mercury,0.22447,0.222397
1902-03-01,mercury,-0.395256,-0.093271
1902-04-01,mercury,0.113612,-0.436557
1902-05-01,mercury,0.197247,0.243085
1902-06-01,mercury,-0.379435,-0.194389
1902-07-01,mercury,0.177037,-0.40433
1902-08-01,mercury,0.074015,0.297962
1902-09-01,mercury,-0.340137,-0.283624
1902-10-01,mercury,0.252452,-0.34214
1902-11-01,mercury,-0.061158,0.30464
1902-12-01,mercury,-0.297937,-0.340596
1903-01-01,mercury,0.312345,-0.259137
1903-02-01,mercury,-0.187151,0.264084
1903-03-01,mercury,-0.264656,-0.373246
1903-04-01,mercury,0.334612,-0.210239
1903-05-01,mercury,-0.215768,0.24731
1903-06-01,mercury,-0.189138,-0.423774
1903-07-01,mercury,0.355522,-0.129938
1903-08-01,mercury,-0.30858,0.163392
1903-09-01,mercury,-0.104533,-0.454001
1903-10-01,mercury,0.35579,-0.014038
1903-11-01,mercury,-0.367769,0.061203
1903-12-01,mercury,-0.03744,-0.462654
1904-01-01,mercury,0.318956,0.102923
1904-02-01,mercury,-0.393623,-0.046845
1904-03-01,mercury,0.030655,-0.458848
1904-04-01,mercury,0.264923,0.182992
1904-05-01,mercury,-0.395015,-0.100472
1904-06-01,mercury,0.119561,-0.434148
1904-07-01,mercury,0.189619,0.248208
1904-08-01,mercury,-0.377435,-0.200925
1904-09-01,mercury,0.202228,-0.387
1904-10-01,mercury,0.064914,0.300011
1904-11-01,mercury,-0.336703,-0.289193
1904-12-01,mercury,0.257117,-0.337102
1905-01-01,mercury,-0.070294,0.303288
1905-02-01,mercury,-0.277449,-0.361654
1905-03-01,mercury,0.289024,-0.297059
1905-04-01,mercury,-0.13559,0.286672
1905-05-01,mercury,-0.259862,-0.377327
1905-06-01,mercury,0.337155,-0.20328
1905-07-01,mercury,-0.223124,0.242434
1905-08-01,mercury,-0.183582,-0.426516
1905-09-01,mercury,0.359276,-0.094073
1905-10-01,mercury,-0.31373,0.156803
1905-11-01,mercury,-0.098497,-0.455308
1905-12-01,mercury,0.354512,-0.005935
1906-01-01,mercury,-0.370577,0.053842
1906-02-01,mercury,-0.008764,-0.462591
1906-03-01,mercury,0.339553,0.05359
1906-04-01,mercury,-0.386471,-0.000604
1906-05-01,mercury,0.014418,-0.460907
1906-06-01,mercury,0.279859,0.164937
1906-07-01,mercury,-0.395355,-0.081548
1906-08-01,mercury,0.10393,-0.440243
1906-09-01,mercury,0.181818,0.25316
1906-10-01,mercury,-0.382422,-0.183693
1906-11-01,mercury,0.188088,-0.3971
1906-12-01,mercury,0.08868,0.294138
1907-01-01,mercury,-0.345489,-0.274461
1907-02-01,mercury,0.261734,-0.331947
1907-03-01,mercury,0.021142,0.306551
1907-04-01,mercury,-0.319269,-0.314598
1907-05-01,mercury,0.278194,-0.311896
1907-06-01,mercury,-0.112815,0.29389
1907-07-01,mercury,-0.272265,-0.366478
1907-08-01,mercury,0.330247,-0.221369
1907-09-01,mercury,-0.230367,0.237394
1907-10-01,mercury,-0.198007,-0.419163
1907-11-01,mercury,0.357552,-0.11451
1907-12-01,mercury,-0.299907,0.173835
1908-01-01,mercury,-0.1142,-0.451702
1908-02-01,mercury,0.353053,0.002226
1908-03-01,mercury,-0.350465,0.099111
1908-04-01,mercury,-0.047399,-0.462163
1908-05-01,mercury,0.336742,0.061637
1908-06-01,mercury,-0.388,-0.008064
1908-07-01,mercury,0.020669,-0.460201
1908-08-01,mercury,0.274292,0.17195
1908-09-01,mercury,-0.394134,-0.114835
1908-10-01,mercury,0.109965,-0.437986
1908-11-01,mercury,0.173886,0.257935
1908-12-01,mercury,-0.380593,-0.190332
1909-01-01,mercury,0.193564,-0.393306
1909-02-01,mercury,0.046495,0.303424
1909-03-01,mercury,-0.363911,-0.237317
1909-04-01,mercury,0.231907,-0.362415
1909-05-01,mercury,0.011824,0.307263
1909-06-01,mercury,-0.315353,-0.319729
1909-07-01,mercury,0.282417,-0.306287
1909-08-01,mercury,-0.121586,0.2913
1909-09-01,mercury,-0.250037,-0.385245
1909-10-01,mercury,0.332993,-0.214507
1909-11-01,mercury,-0.23744,0.232235
1909-12-01,mercury,-0.192518,-0.42205
1910-01-01,mercury,0.358342,-0.106734
1910-02-01,mercury,-0.323549,0.143403
1910-03-01,mercury,-0.150939,-0.440337
1910-04-01,mercury,0.359308,-0.048339
1910-05-01,mercury,-0.340147,0.117672
1910-06-01,mercury,-0.063537,-0.46078
1910-07-01,mercury,0.343703,0.040571
1910-08-01,mercury,-0.383674,0.011424
1910-09-01,mercury,0.026861,-0.459398
1910-10-01,mercury,0.288464,0.153409
1910-11-01,mercury,-0.395168,-0.096047
1910-12-01,mercury,0.094196,-0.443642
1911-01-01,mercury,0.194368,0.245054
1911-02-01,mercury,-0.378664,-0.196915
1911-03-01,mercury,0.137924,-0.425962
1911-04-01,mercury,0.134729,0.277745
1911-05-01,mercury,-0.370503,-0.220963
1911-06-01,mercury,0.2186,-0.374069
1911-07-01,mercury,0.036208,0.304904
1911-08-01,mercury,-0.325426,-0.306116
1911-09-01,mercury,0.286549,-0.300602
1911-10-01,mercury,-0.098434,0.297646
1911-11-01,mercury,-0.262791,-0.374846
1911-12-01,mercury,0.325569,-0.232307
1912-01-01,mercury,-0.218601,0.245447
1912-02-01,mercury,-0.186976,-0.424857
1912-03-01,mercury,0.351047,-0.154435
1912-04-01,mercury,-0.290804,0.184056
1912-05-01,mercury,-0.145113,-0.442433
1912-06-01,mercury,0.358758,-0.040272
1912-07-01,mercury,-0.344222,0.110597
1912-08-01,mercury,-0.057359,-0.461404
1912-09-01,mercury,0.330565,0.077556
1912-10-01,mercury,-0.385446,0.003944
1912-11-01,mercury,0.0331,-0.45849
1912-12-01,mercury,0.283194,0.160586
1913-01-01,mercury,-0.394869,-0.103287
1913-02-01,mercury,0.121902,-0.433185
1913-03-01,mercury,0.238997,0.209605
1913-04-01,mercury,-0.388839,-0.155016
1913-05-01,mercury,0.143783,-0.423101
1913-06-01,mercury,0.126108,0.281351
1913-07-01,mercury,-0.36805,-0.22729
1913-08-01,mercury,0.22376,-0.369688
1913-09-01,mercury,-0.006852,0.307955
1913-10-01,mercury,-0.321616,-0.311409
1913-11-01,mercury,0.290615,-0.294793
